time,date,hour,minute,second,price,volume,daytime,log_return
2010-10-04 09:30:00,72142503356,32301,162497,100900,221781.52509999883,777445,339360600.0,
2010-10-04 10:00:00,56081801160,27900,34082,78840,172413.79720000006,487527,282487040.0,-0.2517953909461598
2010-10-04 10:30:00,48242409600,24000,105255,71805,148177.75130000056,433591,250597305.0,-0.1514848097786729
2010-10-04 11:00:00,48162005584,26356,37290,64315,147674.62520000042,481909,267353315.0,-0.0034012002267654047
2010-10-04 11:30:00,102052797308,55847,236571,144598,312476.50030000013,990259,582271698.0,0.7495178921245419
2010-10-04 12:00:00,76062199136,45408,40469,99514,232311.4877000032,732030,458226414.0,-0.2964501767534778
2010-10-04 12:30:00,46875541328,27984,104325,64722,143311.0968000018,425849,290337222.0,-0.48306132117576756
2010-10-04 13:00:00,57931093528,37466,46142,79881,177463.4605000028,552872,379354081.0,0.2137469620065121
2010-10-04 13:30:00,46815238316,30277,94721,73053,143557.04359999808,509588,312315153.0,-0.21203225879886742
2010-10-04 14:00:00,36101403184,25144,26140,50469,110469.17370000052,337652,254104469.0,-0.26199596158983746
2010-10-04 14:30:00,44604127876,31066,103271,60762,136431.3274999983,385808,321047862.0,0.21108488179460716
2010-10-04 15:00:00,47056450364,35115,36656,65683,143975.2722000009,467685,354881283.0,0.053820171204927054
2010-10-04 15:30:00,144063895668,107505,348015,201443,441316.3151000186,1493875,1110052943.0,1.1201203221367684
2010-10-04 16:00:00,40202008,32,0,0,123.28,312,320000.0,-8.183058974104009
2010-10-04 16:30:00,0,0,0,0,0.0,0,0.0,-inf
2010-10-04 17:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 17:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 18:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 18:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 19:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 19:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 20:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 20:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 21:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 21:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 22:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 22:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 23:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 23:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 00:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 00:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 01:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 01:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 02:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 02:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 03:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 03:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 04:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 04:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 05:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 05:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 06:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 06:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 07:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 07:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 08:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 08:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 09:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 09:30:00,115178758650,51570,254451,177495,356019.2508999962,1101896,541322595.0,inf
2010-10-05 10:00:00,111801789810,55620,65434,151473,346639.4820000025,1022819,562894873.0,-0.02669952186696123
2010-10-05 10:30:00,94374218475,46950,197628,131394,293499.5688999992,1110166,489394194.0,-0.16640911264228764
2010-10-05 11:00:00,50996249685,27907,35868,76299,158304.85630000007,559186,282733099.0,-0.6173535261992151
2010-10-05 11:30:00,76906445130,42086,162792,115177,239435.60809999672,1195512,437254377.0,0.41376187675065806
2010-10-05 12:00:00,51619380840,30816,34658,78310,160900.95939999793,627249,311704110.0,-0.3974955043036757
2010-10-05 12:30:00,51579178830,30792,112113,72970,160750.88369999657,484854,319204270.0,-0.0009331562315653004
2010-10-05 13:00:00,57991399425,37505,37544,84440,180860.3240000031,757344,378888840.0,0.11786918229289997
2010-10-05 13:30:00,53850592395,34827,122760,83087,168129.88159999682,737477,360629087.0,-0.07298825727804512
2010-10-05 14:00:00,41930696430,29204,29003,58735,130944.72200000001,449978,294999035.0,-0.24996152079226017
2010-10-05 14:30:00,51016350690,35532,106380,71992,159338.4227999994,524348,366029992.0,0.1962551208912788
2010-10-05 15:00:00,64303114995,47985,45823,91848,201021.5797000011,707778,484524148.0,0.23238187841515606
2010-10-05 15:30:00,139400469675,104025,326472,198716,435877.21369999147,1620241,1073095916.0,0.7739483197447707
2010-10-05 16:00:00,100505025,80,0,0,313.92,756,800000.0,-7.235977686337679
2010-10-05 16:30:00,0,0,0,0,0.0,0,0.0,-inf
2010-10-05 17:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 17:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 18:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 18:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 19:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 19:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 20:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 20:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 21:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 21:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 22:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 22:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 23:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 23:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 00:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 00:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 01:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 01:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 02:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 02:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 03:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 03:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 04:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 04:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 05:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 05:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 06:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 06:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 07:00:00,0,0,0,0,0.0,0,0.0,
2010-10-06 07:30:00,0,0,0,0,0.0,0,0.0,
2010-10-06 08:00:00,0,0,0,0,0.0,0,0.0,
