time,DATE,Hour,Min,Sec,PRICE,SIZE,daytime,log_return
2010-02-01 09:30:00,99978399774,44766,216764,142931,262835.09689999995,962068,469479331.0,
2010-02-01 10:00:00,94229742288,46880,63406,135332,248725.1885999975,746646,475275932.0,-0.055178200798972864
2010-02-01 10:30:00,103737137361,51610,230371,162847,274984.05489999935,888287,539299947.0,0.1003644870614307
2010-02-01 11:00:00,72280322796,39556,49644,102542,191627.06150000298,598135,400626942.0,-0.36116201867872455
2010-02-01 11:30:00,45687756873,25003,100410,62948,120744.13479999927,368801,260133948.0,-0.4618773768569151
2010-02-01 12:00:00,32280922806,19272,22138,46503,85036.75749999988,278432,194980303.0,-0.3505901140770318
2010-02-01 12:30:00,41406414060,24720,87103,63403,109352.10289999984,343782,255973703.0,0.25148937365673846
2010-02-01 13:00:00,40160201598,25974,30192,56864,106055.92470000008,423000,262816064.0,-0.030606431353751795
2010-02-01 13:30:00,34331143308,22204,77397,54151,90570.64469999932,276374,229833851.0,-0.15783639588144274
2010-02-01 14:00:00,49546995465,34510,33332,69962,130308.04690000009,417795,348503162.0,0.36377108832661365
2010-02-01 14:30:00,41687816874,29036,94468,59100,109590.51949999994,328282,299865900.0,-0.17315036907911896
2010-02-01 15:00:00,47858578581,35715,32541,70323,125780.36069999916,386083,360474423.0,0.13778634695667014
2010-02-01 15:30:00,83797737969,62535,196435,129635,220600.7366000005,888984,645123135.0,0.5618172290723226
2010-02-01 16:00:00,40200402,32,0,0,105.91,500,320000.0,-7.6415200480156384
2010-02-01 16:30:00,0,0,0,0,0.0,0,0.0,-inf
2010-02-01 17:00:00,0,0,0,0,0.0,0,0.0,
2010-02-01 17:30:00,0,0,0,0,0.0,0,0.0,
2010-02-01 18:00:00,0,0,0,0,0.0,0,0.0,
2010-02-01 18:30:00,0,0,0,0,0.0,0,0.0,
2010-02-01 19:00:00,0,0,0,0,0.0,0,0.0,
2010-02-01 19:30:00,0,0,0,0,0.0,0,0.0,
2010-02-01 20:00:00,0,0,0,0,0.0,0,0.0,
2010-02-01 20:30:00,0,0,0,0,0.0,0,0.0,
2010-02-01 21:00:00,0,0,0,0,0.0,0,0.0,
2010-02-01 21:30:00,0,0,0,0,0.0,0,0.0,
2010-02-01 22:00:00,0,0,0,0,0.0,0,0.0,
2010-02-01 22:30:00,0,0,0,0,0.0,0,0.0,
2010-02-01 23:00:00,0,0,0,0,0.0,0,0.0,
2010-02-01 23:30:00,0,0,0,0,0.0,0,0.0,
2010-02-02 00:00:00,0,0,0,0,0.0,0,0.0,
2010-02-02 00:30:00,0,0,0,0,0.0,0,0.0,
2010-02-02 01:00:00,0,0,0,0,0.0,0,0.0,
2010-02-02 01:30:00,0,0,0,0,0.0,0,0.0,
2010-02-02 02:00:00,0,0,0,0,0.0,0,0.0,
2010-02-02 02:30:00,0,0,0,0,0.0,0,0.0,
2010-02-02 03:00:00,0,0,0,0,0.0,0,0.0,
